city,country,description,temperature,humidity,pressure,wind_speed,icon,sunrise,sunset
Resistencia,AR,clear sky,33.94,45,1007,4.6,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,33.94,45,1007,4.6,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.77,32,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,33.94,45,1007,4.6,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.67,32,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.56,33,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.67,32,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.56,33,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.46,33,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.46,33,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,32.27,48,1007,3.61,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,34.46,33,1007,7.72,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,33.54,35,1007,6.17,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,33.54,35,1007,6.17,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,33.54,35,1007,6.17,01d,07:25:49,18:34:59
Resistencia,AR,clear sky,33.54,35,1007,6.17,01d,07:25:49,18:34:59
